what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1505828452651
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1505828462223
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828466107
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828471988
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1505828475619
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828495347
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828508019
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828528512
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828842557
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1505828855621
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828907602
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505828922457
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1505828922820
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1505828922886
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1505828930947
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1505828931899
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1505829027488
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829165074
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829171485
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829216771
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829226224
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829236179
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829244798
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1505829392655
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1505829408175
