what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631549954
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1521631695667
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521631734772
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521631747586
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631858826
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631864659
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631867656
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631873635
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1521631909065
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1521631914473
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1521631919907
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521631927890
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1521631953248
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1521631966569
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1521631976290
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1521632009704
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1521632034174
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632088552
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632107256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632108422
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632118671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632133838
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632197421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632262663
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1521632341277
