what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510927563224
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510939707323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510939711218
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510940840093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510940856688
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510941771731
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510941772972
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951504652
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951508496
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951519078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951554211
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951561430
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951572775
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951573087
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1510951587619
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1510951594588
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1510951604136
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1510951624621
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1510951642750
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1510951643109
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1510951643391
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1510951643500
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1510951643641
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1510951643797
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1510951643891
