what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524249675261
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524249833148
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1524249954929
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524249989281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524249990871
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524249994663
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250184991
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1524250187612
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524250191473
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250194045
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250198993
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250246209
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250247203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250247641
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250252133
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250255362
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250262887
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524250266868
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1524250309349
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1524250418295
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1524250420559
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1524250437763
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.smartEnter,1524250438539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524250480531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524252872280
