what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524056491886
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524056491942
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524056494537
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524056496807
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1524056501090
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524056515047
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524056625456
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058739204
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1524058747929
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058782068
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058790724
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524058791098
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524058791156
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524058796018
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1524058796051
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1524058799048
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058808074
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1524058813954
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1524058817184
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1524058818953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058821572
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058822131
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058822291
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1524058822302
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1524058835426
