what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479929804
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479931382
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479935539
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479935633
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479937414
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479937508
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479940305
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479959722
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479963038
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479963054
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479965088
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479965151
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502479968138
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1502480020358
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1502480021174
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1502480021223
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502480164637
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502480167578
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1502480168894
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1502480210402
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1502480266481
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1502480266841
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1502480266888
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502480359301
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1502480362652
